tense,cem,tesniye,ferd,person
mazi,ذَهَبْنَا,,ذَهَبْتُ,1
mazi,ذَهَبْتُمْ,ذَهَبْتُمَا,ذَهَبْتَ,2-muzekker
mazi,ذَهَبْتُنَّ,ذَهَبْتُمَا,ذَهَبْتِ,2-muennes
mazi,ذَهَبُوا,ذَهَبَا,ذَهَبَ,3-muzekker
mazi,ذَهَبْنَ,ذَهَبَتَا,ذَهَبَتْ,3-muennes
muzari,نَذْهَبُ,,أَذْهَبُ,1
muzari,تَذْهَبُونَ,تَذْهَبَانِ,تَذْهَبُ,2-muzekker
muzari,تَذْهَبْنَ,تَذْهَبَانِ,تَذْهَبِينَ,2-muennes
muzari,يَذْهَبُونَ,يَذْهَبَانِ,يَذْهَبُ,3-muzekker
muzari,يَذْهَبْنَ,تَذْهَبَانِ,تَذْهَبُ,3-muennes
amr,لِنَذْهَبْ,,لِاَذْهَبْ,1
amr,لِتَذْهَبُو,لِتَذْهَبَا,لِتَذْهَبْ,2-muzekker
amr,لِتَذْهَبْنَ,لِتَذْهَبَا,لِتَذْهَبِى,2-muennes
amr,اِذْهَبُوا,اِذْهَبَا,اِذْهَبْ,2-muzekker-modern
amr,اِذْهَبْنَ,اِذْهَبَا,اِذْهَبِي,2-muennes-modern
amr,لْيَذْهَبُوا,لْيَذْهَبَا,لْيَذْهَبْ,3-muzekker
amr,لْيَذْهَبْنَ,للْتَذْهَبَا,لْتَذْهَبْ,3-muennes
